,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed,Time
439,2001,1,19,7,30,38,28,17,21.728731224025974,957.2910766601562,1.4007136821746826,07:30:00
440,2001,1,19,8,30,139,301,17,25.34779742968601,957.9208374023438,1.1553114652633667,08:30:00
441,2001,1,19,9,30,202,461,16,29.241594206180075,958.5748901367188,1.1508785486221311,09:30:00
442,2001,1,19,10,30,195,648,15,31.13692749864151,958.2971801757812,1.0896252393722534,10:30:00
443,2001,1,19,11,30,210,697,15,31.97757314704512,957.3298950195312,1.237101912498474,11:30:00
444,2001,1,19,12,30,215,713,15,32.33647098576233,956.6555786132812,1.3791964054107666,12:30:00
445,2001,1,19,13,30,211,701,15,32.01847449602633,955.6787109375,1.4993447065353394,13:30:00
446,2001,1,19,14,30,347,225,14,30.82049962715672,954.7576293945312,1.628410816192627,14:30:00
447,2001,1,19,15,30,231,435,14,29.90065365876956,954.6646728515624,1.7675561904907229,15:30:00
448,2001,1,19,16,30,159,160,14,28.251823197657586,954.9810180664062,1.8475524187088013,16:30:00
449,2001,1,19,17,30,44,3,17,26.352519751688362,955.4627075195312,1.8632745742797847,17:30:00
450,2001,1,19,18,30,0,0,17,25.656571339551988,956.1395874023438,1.8752185106277464,18:30:00
462,2001,1,20,6,30,0,0,14,18.863866185322195,956.7702026367188,1.6699085235595703,06:30:00
463,2001,1,20,7,30,33,5,14,21.432784972980414,957.5784301757812,1.3880051374435425,07:30:00
464,2001,1,20,8,30,138,325,14,25.34183715484727,958.4606323242188,1.233168125152588,08:30:00
465,2001,1,20,9,30,168,561,12,29.785488029296857,958.9947509765624,1.4746053218841553,09:30:00
466,2001,1,20,10,30,196,657,12,31.820042812114195,958.6044921875,1.4566299915313718,10:30:00
467,2001,1,20,11,30,211,708,12,32.972587189449136,957.5742797851562,1.5719997882843018,11:30:00
468,2001,1,20,12,30,217,726,12,33.40006759253652,956.7080078125,1.7129950523376465,12:30:00
469,2001,1,20,13,30,380,160,11,33.255326751857574,955.5304565429688,1.8626354932785036,13:30:00
470,2001,1,20,14,30,328,270,11,32.514425287471106,954.8090209960938,1.9118224382400515,14:30:00
471,2001,1,20,15,30,261,269,11,31.06355278933262,954.3143310546876,1.8680845499038696,15:30:00
472,2001,1,20,16,30,131,433,11,28.77995347370273,953.9953002929688,1.7821850776672363,16:30:00
473,2001,1,20,17,30,55,40,14,25.97783167789555,954.3821411132812,1.8403823375701904,17:30:00
474,2001,1,20,18,30,0,0,14,24.99560263173629,954.84765625,1.9371429681777956,18:30:00
486,2001,1,21,6,30,0,0,11,17.865089019042216,956.0297241210938,1.9913359880447388,06:30:00
487,2001,1,21,7,30,39,29,11,20.665937168211826,956.7216186523438,1.6323103904724119,07:30:00
488,2001,1,21,8,30,122,400,11,24.55937597223357,957.2664794921876,1.0943586826324463,08:30:00
489,2001,1,21,9,30,170,574,9,29.870286476611515,957.3058471679688,0.7809196710586548,09:30:00
490,2001,1,21,10,30,198,671,10,32.36450806430741,956.339111328125,0.4779230952262878,10:30:00
491,2001,1,21,11,30,213,721,10,33.799097535482304,954.8560180664062,0.4245709776878357,11:30:00
492,2001,1,21,12,30,219,739,9,34.54633481138609,953.4060668945312,0.398960679769516,12:30:00
493,2001,1,21,13,30,215,727,9,34.60298159139188,952.2413940429688,0.344931036233902,13:30:00
494,2001,1,21,14,30,201,683,9,33.94377754131972,951.7709350585938,0.3161966204643249,14:30:00
495,2001,1,21,15,30,176,596,9,32.43384608582403,951.5135498046876,0.3486038446426392,15:30:00
496,2001,1,21,16,30,133,440,10,30.036006445575083,951.298095703125,0.5755180716514587,16:30:00
497,2001,1,21,17,30,54,31,13,27.006481343192945,951.48193359375,1.1198134422302246,17:30:00
498,2001,1,21,18,30,0,0,14,25.92441543533124,951.9119262695312,1.6248700618743896,18:30:00
510,2001,1,22,6,30,0,0,10,16.999467980106832,953.9435424804688,2.261425256729126,06:30:00
511,2001,1,22,7,30,36,97,10,19.903976534243952,954.8095703125,1.9694244861602783,07:30:00
